               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.038239,            0.018385,           0.0070413,             0.75154,             0.78531,             0.78455,             0.45531,            0.025597,           0.0068122,            0.010086,            0.005743,            0.005743,            0.005743
                  88,            0.038231,             0.01824,           0.0071217,             0.75106,             0.78308,             0.78545,             0.45704,            0.025555,           0.0068038,            0.010089,           0.0056935,           0.0056935,           0.0056935
                  89,            0.038185,            0.018207,           0.0071221,             0.75322,             0.78377,              0.7864,              0.4573,            0.025522,           0.0067952,            0.010083,            0.005644,            0.005644,            0.005644
                  90,            0.037765,            0.018113,           0.0069907,             0.75486,             0.78292,              0.7876,             0.45878,            0.025483,           0.0067869,            0.010079,           0.0055945,           0.0055945,           0.0055945
                  91,            0.037833,            0.018092,             0.00717,             0.75541,               0.783,             0.78845,             0.46017,            0.025446,           0.0067778,            0.010069,            0.005545,            0.005545,            0.005545
                  92,            0.037979,            0.018134,           0.0068841,             0.75474,             0.78524,              0.7899,             0.46158,            0.025415,            0.006769,            0.010056,           0.0054955,           0.0054955,           0.0054955
                  93,            0.037562,            0.017973,           0.0067374,             0.75728,             0.78594,             0.79202,             0.46275,            0.025371,           0.0067569,            0.010057,            0.005446,            0.005446,            0.005446
                  94,            0.037418,            0.018082,           0.0066274,             0.75523,             0.78803,             0.79262,             0.46388,             0.02533,           0.0067454,            0.010053,           0.0053965,           0.0053965,           0.0053965
                  95,            0.037772,            0.017994,           0.0069954,             0.75717,             0.78832,             0.79488,             0.46486,            0.025284,           0.0067333,            0.010031,            0.005347,            0.005347,            0.005347
                  96,             0.03764,            0.017986,            0.006628,             0.76004,              0.7885,             0.79586,             0.46698,            0.025246,           0.0067222,            0.010022,           0.0052975,           0.0052975,           0.0052975
                  97,            0.037521,            0.017977,           0.0067682,             0.76084,             0.78755,             0.79722,             0.46808,             0.02521,            0.006712,            0.010012,            0.005248,            0.005248,            0.005248
                  98,            0.037659,            0.017944,           0.0066506,              0.7605,              0.7899,             0.79807,             0.46802,            0.025183,           0.0067029,           0.0099995,           0.0051985,           0.0051985,           0.0051985
                  99,            0.037608,            0.017744,           0.0066864,             0.75759,              0.7886,             0.79782,             0.46917,            0.025151,           0.0066925,           0.0099855,            0.005149,            0.005149,            0.005149
                 100,            0.037583,            0.017959,           0.0067107,             0.75931,             0.79102,             0.80032,             0.47035,            0.025114,           0.0066843,           0.0099826,           0.0050995,           0.0050995,           0.0050995
                 101,            0.037414,            0.017756,           0.0063589,             0.76112,             0.79357,             0.80106,             0.47164,            0.025075,           0.0066736,           0.0099824,             0.00505,             0.00505,             0.00505
                 102,            0.037343,            0.017743,           0.0063352,             0.76483,             0.79558,             0.80289,             0.47252,            0.025048,           0.0066637,           0.0099785,           0.0050005,           0.0050005,           0.0050005
                 103,            0.036972,            0.017647,           0.0061573,             0.76668,             0.79657,             0.80434,             0.47392,            0.025018,           0.0066517,           0.0099806,            0.004951,            0.004951,            0.004951
