               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.040644,            0.019184,           0.0082639,             0.72131,             0.73132,             0.74257,             0.44215,            0.025859,           0.0069832,           0.0093243,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040679,            0.019314,            0.008309,             0.72915,             0.73153,             0.74636,             0.44291,            0.025836,           0.0069644,           0.0092899,            0.007426,            0.007426,            0.007426
                  54,             0.04044,            0.018934,           0.0080795,             0.73423,              0.7289,              0.7482,             0.44525,            0.025746,           0.0069439,           0.0092392,           0.0073765,           0.0073765,           0.0073765
                  55,             0.04039,            0.019031,           0.0079467,             0.73823,             0.73155,             0.75077,             0.44614,            0.025702,           0.0069305,           0.0092559,            0.007327,            0.007327,            0.007327
                  56,            0.040518,            0.019118,           0.0081192,             0.72219,             0.74358,              0.7517,             0.44784,            0.025658,           0.0069175,           0.0092508,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040415,            0.019196,           0.0078447,             0.72232,              0.7457,             0.75274,              0.4483,            0.025625,           0.0069057,           0.0091866,            0.007228,            0.007228,            0.007228
                  58,            0.040115,             0.01898,           0.0081102,             0.72706,             0.74434,             0.75309,             0.44903,            0.025582,           0.0068928,           0.0091737,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040086,            0.019073,           0.0078503,             0.72676,             0.74458,             0.75414,              0.4505,            0.025551,           0.0068843,           0.0091731,            0.007129,            0.007129,            0.007129
                  60,            0.039995,             0.01894,           0.0077066,             0.72934,             0.74647,             0.75585,             0.45132,            0.025506,           0.0068752,           0.0092057,           0.0070795,           0.0070795,           0.0070795
                  61,            0.040073,            0.019087,           0.0076449,             0.73386,             0.74935,             0.75644,             0.45197,            0.025476,           0.0068694,           0.0092296,             0.00703,             0.00703,             0.00703
                  62,            0.039713,             0.01886,           0.0074842,               0.735,              0.7471,             0.75709,             0.45199,            0.025453,           0.0068606,           0.0092839,           0.0069805,           0.0069805,           0.0069805
                  63,            0.039801,            0.018988,           0.0075344,             0.73607,             0.74664,             0.75829,             0.45297,            0.025427,           0.0068529,            0.009306,            0.006931,            0.006931,            0.006931
                  64,            0.039785,            0.018864,           0.0076361,              0.7378,             0.74958,              0.7605,             0.45438,            0.025395,            0.006847,           0.0093211,           0.0068815,           0.0068815,           0.0068815
                  65,            0.039619,            0.018828,           0.0076314,              0.7396,             0.75079,             0.76124,             0.45558,            0.025377,           0.0068413,           0.0093389,            0.006832,            0.006832,            0.006832
                  66,            0.039617,            0.018604,           0.0075539,             0.74244,              0.7488,                0.76,             0.45521,            0.025343,           0.0068348,           0.0093526,           0.0067825,           0.0067825,           0.0067825
                  67,            0.039441,            0.018613,           0.0076581,             0.74921,             0.74536,             0.76046,             0.45553,            0.025314,           0.0068299,           0.0093327,            0.006733,            0.006733,            0.006733
                  68,            0.039641,            0.018764,           0.0073034,             0.74812,             0.74571,             0.76085,             0.45586,            0.025282,           0.0068231,            0.009338,           0.0066835,           0.0066835,           0.0066835
                  69,            0.039635,            0.018767,           0.0073866,             0.74853,              0.7487,             0.76171,             0.45636,            0.025262,           0.0068155,           0.0093463,            0.006634,            0.006634,            0.006634
                  70,            0.039524,            0.018551,           0.0073492,             0.74548,             0.75256,             0.76293,             0.45694,            0.025243,           0.0068077,           0.0093544,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039354,            0.018603,           0.0070488,             0.74371,             0.75335,             0.76425,             0.45823,            0.025213,           0.0067992,           0.0093494,            0.006535,            0.006535,            0.006535
                  72,            0.039486,            0.018598,           0.0072188,             0.74198,             0.75439,             0.76532,             0.45862,            0.025186,           0.0067905,           0.0093472,           0.0064855,           0.0064855,           0.0064855
