               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.040743,            0.019165,           0.0070786,             0.75114,             0.75226,              0.7767,             0.46647,            0.026301,           0.0075647,           0.0032023,            0.006337,            0.006337,            0.006337
                  76,            0.040626,            0.019143,           0.0069087,             0.75925,             0.74893,             0.81643,             0.50244,            0.026261,           0.0075517,            0.003157,           0.0062875,           0.0062875,           0.0062875
                  77,            0.040417,            0.019102,           0.0067307,             0.76298,             0.75036,             0.81849,             0.50351,            0.026229,           0.0075433,           0.0031445,            0.006238,            0.006238,            0.006238
                  78,            0.039925,            0.018961,           0.0063431,             0.76619,              0.7514,             0.81955,             0.50468,            0.026191,           0.0075327,           0.0031474,           0.0061885,           0.0061885,           0.0061885
                  79,            0.039838,            0.019038,           0.0063163,             0.77245,             0.75112,             0.82207,             0.50551,            0.026153,           0.0075201,           0.0031267,            0.006139,            0.006139,            0.006139
                  80,            0.040273,            0.018999,           0.0065427,             0.77469,             0.75277,             0.82249,             0.50565,             0.02612,           0.0075094,           0.0031342,           0.0060895,           0.0060895,           0.0060895
                  81,            0.040135,            0.018935,           0.0064042,             0.77946,             0.75319,             0.82487,             0.50709,            0.026082,           0.0074998,           0.0030989,             0.00604,             0.00604,             0.00604
                  82,            0.040114,            0.018887,           0.0063002,             0.77472,             0.75633,             0.82565,             0.50786,            0.026048,           0.0074878,           0.0030763,           0.0059905,           0.0059905,           0.0059905
                  83,            0.039754,             0.01869,             0.00627,             0.77799,              0.7581,             0.82732,             0.49794,            0.026008,           0.0074769,           0.0030458,            0.005941,            0.005941,            0.005941
                  84,            0.039612,             0.01867,           0.0065366,             0.78007,              0.7582,             0.82807,             0.49954,            0.025974,           0.0074653,           0.0030055,           0.0058915,           0.0058915,           0.0058915
                  85,            0.039369,            0.018843,           0.0061864,             0.78181,             0.75654,             0.82841,             0.49998,            0.025948,           0.0074538,           0.0029746,            0.005842,            0.005842,            0.005842
                  86,            0.039302,            0.018714,           0.0059921,             0.78428,             0.75859,             0.83077,             0.50105,            0.025918,           0.0074446,           0.0029536,           0.0057925,           0.0057925,           0.0057925
                  87,            0.039183,            0.018602,           0.0058506,             0.79038,             0.75366,             0.83157,             0.50207,            0.025891,           0.0074325,           0.0029546,            0.005743,            0.005743,            0.005743
                  88,            0.039528,            0.018529,           0.0060715,             0.79047,             0.75311,             0.83237,             0.50314,            0.025861,           0.0074211,           0.0029485,           0.0056935,           0.0056935,           0.0056935
                  89,            0.039333,            0.018675,           0.0061078,             0.79369,             0.75115,             0.83435,             0.50317,            0.025834,           0.0074097,            0.002927,            0.005644,            0.005644,            0.005644
                  90,            0.039412,            0.018629,           0.0063201,             0.79268,             0.74971,             0.83388,             0.50403,              0.0258,           0.0073998,           0.0029244,           0.0055945,           0.0055945,           0.0055945
                  91,            0.039315,             0.01853,           0.0059724,             0.79365,             0.75197,             0.83422,             0.50404,            0.025777,           0.0073907,           0.0029126,            0.005545,            0.005545,            0.005545
                  92,            0.039135,            0.018702,           0.0062765,             0.79252,              0.7507,             0.83477,             0.50541,            0.025749,           0.0073812,            0.002911,           0.0054955,           0.0054955,           0.0054955
                  93,            0.039228,            0.018253,           0.0060406,             0.79087,             0.75237,             0.83523,             0.50569,            0.025717,           0.0073725,           0.0029036,            0.005446,            0.005446,            0.005446
                  94,            0.039056,            0.018543,           0.0059366,             0.79307,             0.75266,             0.83597,             0.50641,            0.025685,           0.0073635,           0.0029156,           0.0053965,           0.0053965,           0.0053965
                  95,            0.038909,            0.018447,             0.00589,             0.79385,              0.7524,             0.83623,             0.50642,            0.025653,           0.0073541,           0.0029121,            0.005347,            0.005347,            0.005347
                  96,            0.038879,             0.01867,           0.0060224,             0.79541,             0.75201,             0.83703,             0.50715,            0.025627,           0.0073437,            0.002923,           0.0052975,           0.0052975,           0.0052975
                  97,            0.038816,            0.018329,           0.0056846,             0.79471,             0.75539,             0.83815,             0.50843,            0.025596,           0.0073349,           0.0029257,            0.005248,            0.005248,            0.005248
                  98,            0.038517,            0.018311,           0.0057983,             0.79572,             0.75527,             0.83935,             0.51015,            0.025566,           0.0073257,           0.0029211,           0.0051985,           0.0051985,           0.0051985
